iter	RMSE
0	5570.93185
1	5555.841886
2	5541.952282
3	5528.749838
4	5513.908132
5	5498.39752
6	5483.681089
7	5469.953516
8	5456.789972
9	5440.573927
10	5426.099592
11	5412.1407
12	5398.672698
13	5384.382425
14	5368.159712
15	5351.997124
16	5337.184364
17	5323.101697
18	5309.687149
19	5295.719019
20	5281.814835
21	5269.459315
22	5255.413276
23	5241.189316
24	5228.098805
25	5215.795547
26	5202.653843
27	5189.558431
28	5175.091028
29	5162.346348
30	5149.413574
31	5133.958556
32	5120.919377
33	5107.924781
34	5095.006862
35	5082.334531
36	5069.158024
37	5056.504193
38	5043.697814
39	5031.545682
40	5017.092843
41	5004.157224
42	4990.737815
43	4977.400881
44	4964.536821
45	4950.33695
46	4937.645622
47	4923.971562
48	4910.841519
49	4896.470771
50	4883.128835
51	4870.651187
52	4859.304688
53	4847.540354
54	4835.207473
55	4823.969188
56	4811.73128
57	4799.549133
58	4785.741202
59	4774.242358
60	4762.39384
61	4749.929658
62	4738.044272
63	4725.078303
64	4714.083011
65	4700.758704
66	4689.113955
67	4677.342986
68	4664.85221
69	4653.794667
70	4642.809858
71	4632.096037
72	4618.501133
73	4607.818139
74	4597.25745
75	4586.342731
76	4575.52317
77	4563.048724
78	4550.934847
79	4538.526115
80	4527.257887
81	4516.225624
82	4505.818985
83	4495.462035
84	4482.110387
85	4471.038192
86	4459.022672
87	4447.871651
88	4436.774613
89	4426.606336
90	4415.705695
91	4403.37753
92	4392.860831
93	4380.480899
94	4369.020342
95	4358.618759
96	4346.719401
97	4336.105929
98	4326.257844
99	4316.437538
100	4303.826634
101	4292.543747
102	4282.757198
103	4272.388209
104	4262.080258
105	4250.804598
106	4240.916351
107	4230.630652
108	4218.521131
109	4208.315071
110	4198.807152
111	4188.675493
112	4178.587475
113	4168.915582
114	4157.868032
115	4147.565633
116	4137.605573
117	4125.387108
118	4115.8255
119	4106.523922
120	4095.382836
121	4082.58185
122	4072.806559
123	4063.014806
124	4053.312726
125	4042.582007
126	4032.880155
127	4023.048427
128	4013.479756
129	4002.857295
130	3991.069245
131	3982.123096
132	3971.597245
133	3961.516032
134	3952.334273
135	3942.508702
136	3933.496918
137	3923.657825
138	3913.913726
139	3904.603233
140	3895.331612
141	3886.107815
142	3874.572061
143	3865.403624
144	3854.045011
145	3844.141362
146	3835.585363
147	3824.734722
148	3813.508279
149	3804.448562
150	3794.135947
151	3785.242749
152	3775.93095
153	3765.778921
154	3755.494344
155	3746.652294
156	3735.832227
157	3727.484789
158	3718.793656
159	3710.314383
160	3702.043843
161	3692.368473
162	3682.644674
163	3674.09591
164	3665.498048
165	3656.929893
166	3647.930419
167	3639.220178
168	3630.813624
169	3622.297998
170	3614.112248
171	3605.71707
172	3596.790216
173	3587.558574
174	3577.927592
175	3568.512734
176	3560.488988
177	3551.716409
178	3543.724051
179	3535.614724
180	3527.367698
181	3519.520547
182	3511.320732
183	3503.32439
184	3494.517511
185	3485.212115
186	3476.054868
187	3466.925799
188	3458.924493
189	3449.044835
190	3440.668246
191	3432.320894
192	3423.309213
193	3415.550577
194	3408.06771
195	3400.605228
196	3393.13975
197	3385.589854
198	3377.133794
199	3368.36016
200	3361.000558
201	3352.698581
202	3343.83747
203	3336.535203
204	3327.779347
205	3319.127433
206	3309.461815
207	3300.628766
208	3293.430001
209	3285.842887
210	3276.969319
211	3269.625668
212	3262.311071
213	3254.73214
214	3247.472021
215	3238.723544
216	3230.567925
217	3221.934544
218	3213.490209
219	3206.343613
220	3199.382617
221	3190.75032
222	3183.201969
223	3176.290778
224	3168.356004
225	3161.199508
226	3152.91849
227	3146.093771
228	3137.853719
229	3130.620546
230	3122.80372
231	3113.741105
232	3105.966534
233	3099.243859
234	3092.415572
235	3084.694554
236	3077.209022
237	3069.550027
238	3061.514589
239	3052.637975
240	3045.926385
241	3037.951046
242	3029.146445
243	3022.497611
244	3016.044842
245	3007.304002
246	3000.723219
247	2992.877412
248	2986.339301
249	2979.841011
250	2972.056852
251	2965.330698
252	2958.87981
253	2952.608993
254	2946.300386
255	2939.98596
256	2932.94857
257	2926.33722
258	2919.765879
259	2911.898578
260	2904.054357
261	2897.780318
262	2890.217395
263	2882.694003
264	2875.241931
265	2867.801777
266	2861.423008
267	2855.257412
268	2849.10007
269	2842.812312
270	2836.765897
271	2830.682271
272	2824.425219
273	2817.373846
274	2811.432375
275	2805.152574
276	2799.166301
277	2791.978273
278	2785.012485
279	2778.059439
280	2771.891844
281	2764.426053
282	2758.577657
283	2750.770416
284	2743.903126
285	2736.511067
286	2730.867173
287	2723.752179
288	2716.952477
289	2709.744833
290	2703.825206
291	2698.056996
292	2692.312514
293	2685.300343
294	2677.679726
295	2670.775153
296	2663.589725
297	2656.805343
298	2651.203996
299	2644.299279
300	2638.704197
301	2632.876744
302	2626.021758
303	2619.059806
304	2612.615375
305	2605.819813
306	2599.03749
307	2593.340137
308	2587.896773
309	2581.261522
310	2574.812731
311	2568.565484
312	2561.338502
313	2554.549358
314	2547.684955
315	2541.471296
316	2534.440068
317	2528.113868
318	2522.556756
319	2516.354609
320	2509.141081
321	2502.619609
322	2496.395299
323	2490.993145
324	2484.299232
325	2478.85088
326	2473.683865
327	2467.043605
328	2461.875089
329	2455.485915
330	2448.57571
331	2442.242094
332	2436.898997
333	2430.900579
334	2425.91349
335	2419.709821
336	2413.428445
337	2407.039376
338	2402.018493
339	2395.570077
340	2389.233576
341	2383.293851
342	2377.202901
343	2372.254192
344	2366.10433
345	2360.330444
346	2355.212796
347	2348.62556
348	2342.534093
349	2337.67291
350	2331.40235
351	2325.362261
352	2319.333033
353	2312.721123
354	2306.733346
355	2301.801029
356	2296.102079
357	2291.144905
358	2285.425265
359	2280.688122
360	2275.979528
361	2270.323376
362	2264.657137
363	2258.679821
364	2252.62639
365	2246.59684
366	2240.830727
367	2235.237349
368	2229.447464
369	2223.781427
370	2218.019637
371	2212.484449
372	2206.962034
373	2201.247254
374	2195.776171
375	2190.090771
376	2184.624339
377	2179.286986
378	2174.798805
379	2169.370498
380	2163.566365
381	2159.093787
382	2153.318378
383	2148.697308
384	2142.951315
